Date,ConversionFactor,CTD CUSIP,Futures Ticker,Futures Price,CTD Bond ID,Futures ID,CTD Effective,CTD Interest Accrual Date,CTD Maturity,CTD Coupon Frequency,CTD Day Count,CTD Coupon,Futures Expiry Month/Year,CTD Price
17-Jul-2013,0.7812,EI767213,CNU13,132.35,EI767213 Govt,CNU13 Comdty,2-Aug-2011,2-Aug-2011,1-Jun-2022,2,ACT/ACT,2.75,13-Sep-2016,103.775
18-Jul-2013,0.7812,EI767213,CNU13,132.2,EI767213 Govt,CNU13 Comdty,2-Aug-2011,2-Aug-2011,1-Jun-2022,2,ACT/ACT,2.75,13-Sep-2016,103.558
19-Jul-2013,0.7812,EI767213,CNU13,132.43,EI767213 Govt,CNU13 Comdty,2-Aug-2011,2-Aug-2011,1-Jun-2022,2,ACT/ACT,2.75,13-Sep-2016,103.874
22-Jul-2013,0.7812,EI767213,CNU13,132.47,EI767213 Govt,CNU13 Comdty,2-Aug-2011,2-Aug-2011,1-Jun-2022,2,ACT/ACT,2.75,13-Sep-2016,103.901
23-Jul-2013,0.7812,EI767213,CNU13,132,EI767213 Govt,CNU13 Comdty,2-Aug-2011,2-Aug-2011,1-Jun-2022,2,ACT/ACT,2.75,13-Sep-2016,103.483
24-Jul-2013,0.7812,EI767213,CNU13,131.22,EI767213 Govt,CNU13 Comdty,2-Aug-2011,2-Aug-2011,1-Jun-2022,2,ACT/ACT,2.75,13-Sep-2016,102.86
25-Jul-2013,0.7812,EI767213,CNU13,131.15,EI767213 Govt,CNU13 Comdty,2-Aug-2011,2-Aug-2011,1-Jun-2022,2,ACT/ACT,2.75,13-Sep-2016,103.015
26-Jul-2013,0.7812,EI767213,CNU13,131.6,EI767213 Govt,CNU13 Comdty,2-Aug-2011,2-Aug-2011,1-Jun-2022,2,ACT/ACT,2.75,13-Sep-2016,103.114
29-Jul-2013,0.7812,EI767213,CNU13,131.32,EI767213 Govt,CNU13 Comdty,2-Aug-2011,2-Aug-2011,1-Jun-2022,2,ACT/ACT,2.75,13-Sep-2016,102.75
30-Jul-2013,0.7812,EI767213,CNU13,131.06,EI767213 Govt,CNU13 Comdty,2-Aug-2011,2-Aug-2011,1-Jun-2022,2,ACT/ACT,2.75,13-Sep-2016,102.607
