Date,ConversionFactor,CTD CUSIP,Futures Ticker,Futures Price,CTD Bond ID,Futures ID,CTD Effective,CTD Interest Accrual Date,CTD Maturity,CTD Coupon Frequency,CTD Day Count,CTD Coupon,Futures Expiry Month/Year,CTD Price
2/28/2012,0.8391,EH963117,CNH12,133.97,EH963117 Govt,CNH12 Comdty,9/8/2009,9/8/2009,6/1/2020,2,ACT/ACT,3.5,12-Mar,112.579
2/29/2012,0.8391,EH963117,CNH12,133.93,EH963117 Govt,CNH12 Comdty,9/8/2009,9/8/2009,6/1/2020,2,ACT/ACT,3.5,12-Mar,112.496
3/1/2012,0.8391,EH963117,CNH12,133.72,EH963117 Govt,CNH12 Comdty,9/8/2009,9/8/2009,6/1/2020,2,ACT/ACT,3.5,12-Mar,112.359
3/2/2012,0.8391,EH963117,CNH12,134.04,EH963117 Govt,CNH12 Comdty,9/8/2009,9/8/2009,6/1/2020,2,ACT/ACT,3.5,12-Mar,112.699
3/5/2012,0.8391,EH963117,CNH12,133.97,EH963117 Govt,CNH12 Comdty,9/8/2009,9/8/2009,6/1/2020,2,ACT/ACT,3.5,12-Mar,112.539
3/6/2012,0.8391,EH963117,CNH12,134.35,EH963117 Govt,CNH12 Comdty,9/8/2009,9/8/2009,6/1/2020,2,ACT/ACT,3.5,12-Mar,112.901
3/7/2012,0.8391,EH963117,CNH12,134.01,EH963117 Govt,CNH12 Comdty,9/8/2009,9/8/2009,6/1/2020,2,ACT/ACT,3.5,12-Mar,112.587
3/8/2012,0.8391,EH963117,CNH12,133.69,EH963117 Govt,CNH12 Comdty,9/8/2009,9/8/2009,6/1/2020,2,ACT/ACT,3.5,12-Mar,112.233
3/9/2012,0.8391,EH963117,CNH12,133.56,EH963117 Govt,CNH12 Comdty,9/8/2009,9/8/2009,6/1/2020,2,ACT/ACT,3.5,12-Mar,112.249
3/12/2012,0.8391,EH963117,CNH12,133.83,EH963117 Govt,CNH12 Comdty,9/8/2009,9/8/2009,6/1/2020,2,ACT/ACT,3.5,12-Mar,112.334
3/13/2012,0.8391,EH963117,CNH12,133.27,EH963117 Govt,CNH12 Comdty,9/8/2009,9/8/2009,6/1/2020,2,ACT/ACT,3.5,12-Mar,111.704
3/14/2012,0.8391,EH963117,CNH12,132.1,EH963117 Govt,CNH12 Comdty,9/8/2009,9/8/2009,6/1/2020,2,ACT/ACT,3.5,12-Mar,111.003
3/15/2012,0.8391,EH963117,CNH12,131.58,EH963117 Govt,CNH12 Comdty,9/8/2009,9/8/2009,6/1/2020,2,ACT/ACT,3.5,12-Mar,110.556
3/16/2012,0.8391,EH963117,CNH12,131.2,EH963117 Govt,CNH12 Comdty,9/8/2009,9/8/2009,6/1/2020,2,ACT/ACT,3.5,12-Mar,110.221
3/19/2012,0.8391,EH963117,CNH12,130.78,EH963117 Govt,CNH12 Comdty,9/8/2009,9/8/2009,6/1/2020,2,ACT/ACT,3.5,12-Mar,109.825
3/20/2012,0.8391,EH963117,CNH12,130.86,EH963117 Govt,CNH12 Comdty,9/8/2009,9/8/2009,6/1/2020,2,ACT/ACT,3.5,12-Mar,109.885
3/21/2012,0.8391,EH963117,CNH12,131.22,EH963117 Govt,CNH12 Comdty,9/8/2009,9/8/2009,6/1/2020,2,ACT/ACT,3.5,12-Mar,110.238
3/22/2012,0.843,EH963117,CNM12,130.48,EH963117 Govt,CNM12 Comdty,9/8/2009,9/8/2009,6/1/2020,2,ACT/ACT,3.5,12-Jun,110.551
3/23/2012,0.843,EH963117,CNM12,130.54,EH963117 Govt,CNM12 Comdty,9/8/2009,9/8/2009,6/1/2020,2,ACT/ACT,3.5,12-Jun,110.698
3/26/2012,0.843,EH963117,CNM12,130.46,EH963117 Govt,CNM12 Comdty,9/8/2009,9/8/2009,6/1/2020,2,ACT/ACT,3.5,12-Jun,110.615
3/27/2012,0.843,EH963117,CNM12,131.02,EH963117 Govt,CNM12 Comdty,9/8/2009,9/8/2009,6/1/2020,2,ACT/ACT,3.5,12-Jun,111.12
3/28/2012,0.843,EH963117,CNM12,131.18,EH963117 Govt,CNM12 Comdty,9/8/2009,9/8/2009,6/1/2020,2,ACT/ACT,3.5,12-Jun,111.168
3/29/2012,0.843,EH963117,CNM12,131.55,EH963117 Govt,CNM12 Comdty,9/8/2009,9/8/2009,6/1/2020,2,ACT/ACT,3.5,12-Jun,111.456
3/30/2012,0.843,EH963117,CNM12,131.23,EH963117 Govt,CNM12 Comdty,9/8/2009,9/8/2009,6/1/2020,2,ACT/ACT,3.5,12-Jun,111.228
4/2/2012,0.843,EH963117,CNM12,131.04,EH963117 Govt,CNM12 Comdty,9/8/2009,9/8/2009,6/1/2020,2,ACT/ACT,3.5,12-Jun,111.135
4/3/2012,0.843,EH963117,CNM12,130.56,EH963117 Govt,CNM12 Comdty,9/8/2009,9/8/2009,6/1/2020,2,ACT/ACT,3.5,12-Jun,110.56
4/4/2012,0.843,EH963117,CNM12,131.1,EH963117 Govt,CNM12 Comdty,9/8/2009,9/8/2009,6/1/2020,2,ACT/ACT,3.5,12-Jun,111.135
4/5/2012,0.843,EH963117,CNM12,131.11,EH963117 Govt,CNM12 Comdty,9/8/2009,9/8/2009,6/1/2020,2,ACT/ACT,3.5,12-Jun,111.132
