Date,ConversionFactor,CTD CUSIP,Futures Ticker,Futures Price,CTD Bond ID,Futures ID,DayCount,CTD Maturity,CTD Coupon,CTD Interest Accrual Date,CTD Coupon Frequency,CTD Issue Date,Futures Expiry Month/Year,CTD Price
5-Nov-2008,1.1657,912810ET,USZ08,116.625,912810ET Govt,USZ08 Comdty,ACT/ACT,15-Feb-2025,7.625,15-Feb-1995,2,15-Feb-1995,8-Dec-2016,143.984375
7-Nov-2008,1.1657,912810ET,USZ08,116.359375,912810ET Govt,USZ08 Comdty,ACT/ACT,15-Feb-2025,7.625,15-Feb-1995,2,15-Feb-1995,8-Dec-2016,142.890625
26-Nov-2008,1.1657,912810ET,USZ08,128.046875,912810ET Govt,USZ08 Comdty,ACT/ACT,15-Feb-2025,7.625,15-Feb-1995,2,15-Feb-1995,8-Dec-2016,140.796875
28-Nov-2008,1.1657,912810ET,USZ08,128.5625,912810ET Govt,USZ08 Comdty,ACT/ACT,15-Feb-2025,7.625,15-Feb-1995,2,15-Feb-1995,8-Dec-2016,141.03125
2-Dec-2008,1.1657,912810ET,USZ08,132.203125,912810ET Govt,USZ08 Comdty,ACT/ACT,15-Feb-2025,7.625,15-Feb-1995,2,15-Feb-1995,8-Dec-2016,141.140625
3-Dec-2008,1.1657,912810ET,USZ08,132.96875,912810ET Govt,USZ08 Comdty,ACT/ACT,15-Feb-2025,7.625,15-Feb-1995,2,15-Feb-1995,8-Dec-2016,140.078125
4-Dec-2008,1.1657,912810ET,USZ08,134.9375,912810ET Govt,USZ08 Comdty,ACT/ACT,15-Feb-2025,7.625,15-Feb-1995,2,15-Feb-1995,8-Dec-2016,139.359375
5-Dec-2008,1.1657,912810ET,USZ08,134.609375,912810ET Govt,USZ08 Comdty,ACT/ACT,15-Feb-2025,7.625,15-Feb-1995,2,15-Feb-1995,8-Dec-2016,140.09375
8-Dec-2008,1.1657,912810ET,USZ08,134.703125,912810ET Govt,USZ08 Comdty,ACT/ACT,15-Feb-2025,7.625,15-Feb-1995,2,15-Feb-1995,8-Dec-2016,140.5625
9-Dec-2008,1.1657,912810ET,USZ08,135.59375,912810ET Govt,USZ08 Comdty,ACT/ACT,15-Feb-2025,7.625,15-Feb-1995,2,15-Feb-1995,8-Dec-2016,141.234375
11-Dec-2008,1.1657,912810ET,USZ08,135.609375,912810ET Govt,USZ08 Comdty,ACT/ACT,15-Feb-2025,7.625,15-Feb-1995,2,15-Feb-1995,8-Dec-2016,140.59375
12-Dec-2008,1.1657,912810ET,USZ08,135.9375,912810ET Govt,USZ08 Comdty,ACT/ACT,15-Feb-2025,7.625,15-Feb-1995,2,15-Feb-1995,8-Dec-2016,140.1875
15-Dec-2008,1.1657,912810ET,USZ08,136.3125,912810ET Govt,USZ08 Comdty,ACT/ACT,15-Feb-2025,7.625,15-Feb-1995,2,15-Feb-1995,8-Dec-2016,139.1875
17-Dec-2008,1.1657,912810ET,USZ08,140.484375,912810ET Govt,USZ08 Comdty,ACT/ACT,15-Feb-2025,7.625,15-Feb-1995,2,15-Feb-1995,8-Dec-2016,138.15625
18-Dec-2008,1.1657,912810ET,USZ08,142.546875,912810ET Govt,USZ08 Comdty,ACT/ACT,15-Feb-2025,7.625,15-Feb-1995,2,15-Feb-1995,8-Dec-2016,139.609375
19-Dec-2008,1.1657,912810ET,USZ08,142.625,912810ET Govt,USZ08 Comdty,ACT/ACT,15-Feb-2025,7.625,15-Feb-1995,2,15-Feb-1995,8-Dec-2016,140.109375
22-Sep-2008,1.1513,912810ES,USZ08,117.453125,912810ES Govt,USZ08 Comdty,ACT/ACT,15-Nov-2024,7.5,15-May-1994,2,15-Aug-1994,8-Dec-2016,138.921875
23-Sep-2008,1.1513,912810ES,USZ08,117.046875,912810ES Govt,USZ08 Comdty,ACT/ACT,15-Nov-2024,7.5,15-May-1994,2,15-Aug-1994,8-Dec-2016,140.609375
24-Sep-2008,1.1513,912810ES,USZ08,117.359375,912810ES Govt,USZ08 Comdty,ACT/ACT,15-Nov-2024,7.5,15-May-1994,2,15-Aug-1994,8-Dec-2016,140.140625
26-Sep-2008,1.1513,912810ES,USZ08,117.4375,912810ES Govt,USZ08 Comdty,ACT/ACT,15-Nov-2024,7.5,15-May-1994,2,15-Aug-1994,8-Dec-2016,139.25
29-Sep-2008,1.1513,912810ES,USZ08,119.828125,912810ES Govt,USZ08 Comdty,ACT/ACT,15-Nov-2024,7.5,15-May-1994,2,15-Aug-1994,8-Dec-2016,138.34375
2-Oct-2008,1.1513,912810ES,USZ08,119.390625,912810ES Govt,USZ08 Comdty,ACT/ACT,15-Nov-2024,7.5,15-May-1994,2,15-Aug-1994,8-Dec-2016,138.265625
3-Oct-2008,1.1513,912810ES,USZ08,119.640625,912810ES Govt,USZ08 Comdty,ACT/ACT,15-Nov-2024,7.5,15-May-1994,2,15-Aug-1994,8-Dec-2016,138.34375
6-Oct-2008,1.1513,912810ES,USZ08,121.96875,912810ES Govt,USZ08 Comdty,ACT/ACT,15-Nov-2024,7.5,15-May-1994,2,15-Aug-1994,8-Dec-2016,138.390625
7-Oct-2008,1.1513,912810ES,USZ08,120.734375,912810ES Govt,USZ08 Comdty,ACT/ACT,15-Nov-2024,7.5,15-May-1994,2,15-Aug-1994,8-Dec-2016,138.359375
8-Oct-2008,1.1513,912810ES,USZ08,118.28125,912810ES Govt,USZ08 Comdty,ACT/ACT,15-Nov-2024,7.5,15-May-1994,2,15-Aug-1994,8-Dec-2016,138.921875
9-Oct-2008,1.1513,912810ES,USZ08,116.515625,912810ES Govt,USZ08 Comdty,ACT/ACT,15-Nov-2024,7.5,15-May-1994,2,15-Aug-1994,8-Dec-2016,138.84375
13-Oct-2008,1.1513,912810ES,USZ08,115.046875,912810ES Govt,USZ08 Comdty,ACT/ACT,15-Nov-2024,7.5,15-May-1994,2,15-Aug-1994,8-Dec-2016,139.453125
14-Oct-2008,1.1513,912810ES,USZ08,114.78125,912810ES Govt,USZ08 Comdty,ACT/ACT,15-Nov-2024,7.5,15-May-1994,2,15-Aug-1994,8-Dec-2016,140.765625
15-Oct-2008,1.1513,912810ES,USZ08,114.25,912810ES Govt,USZ08 Comdty,ACT/ACT,15-Nov-2024,7.5,15-May-1994,2,15-Aug-1994,8-Dec-2016,141.171875
16-Oct-2008,1.1513,912810ES,USZ08,114.390625,912810ES Govt,USZ08 Comdty,ACT/ACT,15-Nov-2024,7.5,15-May-1994,2,15-Aug-1994,8-Dec-2016,140.5625
20-Oct-2008,1.1513,912810ES,USZ08,113.484375,912810ES Govt,USZ08 Comdty,ACT/ACT,15-Nov-2024,7.5,15-May-1994,2,15-Aug-1994,8-Dec-2016,140.984375
22-Oct-2008,1.1513,912810ES,USZ08,115.859375,912810ES Govt,USZ08 Comdty,ACT/ACT,15-Nov-2024,7.5,15-May-1994,2,15-Aug-1994,8-Dec-2016,140.703125
23-Oct-2008,1.1513,912810ES,USZ08,117.953125,912810ES Govt,USZ08 Comdty,ACT/ACT,15-Nov-2024,7.5,15-May-1994,2,15-Aug-1994,8-Dec-2016,141
30-Oct-2008,1.1513,912810ES,USZ08,114.3125,912810ES Govt,USZ08 Comdty,ACT/ACT,15-Nov-2024,7.5,15-May-1994,2,15-Aug-1994,8-Dec-2016,141.78125
3-Nov-2008,1.1513,912810ES,USZ08,113.546875,912810ES Govt,USZ08 Comdty,ACT/ACT,15-Nov-2024,7.5,15-May-1994,2,15-Aug-1994,8-Dec-2016,142.453125
4-Nov-2008,1.1513,912810ES,USZ08,115.359375,912810ES Govt,USZ08 Comdty,ACT/ACT,15-Nov-2024,7.5,15-May-1994,2,15-Aug-1994,8-Dec-2016,143.453125
6-Nov-2008,1.1513,912810ES,USZ08,116.796875,912810ES Govt,USZ08 Comdty,ACT/ACT,15-Nov-2024,7.5,15-May-1994,2,15-Aug-1994,8-Dec-2016,143.46875
10-Nov-2008,1.1513,912810ES,USZ08,117.640625,912810ES Govt,USZ08 Comdty,ACT/ACT,15-Nov-2024,7.5,15-May-1994,2,15-Aug-1994,8-Dec-2016,142.296875
