,FUT_CNVS_FACTOR,FUT_CTD_CUSIP,FUT_CUR_GEN_TICKER,PX_LAST_FUTS,join_id_bonds,join_id_fut,DAY_CNT_DES,MATURITY,CPN,INT_ACC_DT,CPN_FREQ,ISSUE_DT,CURRENT_CONTRACT_MONTH_YR,PX_LAST_BONDS
1/16/2013,0.9504,912810FE,USH13,146.09375,912810FE Govt,USH13 Comdty,ACT/ACT,8/15/2028,5.5,8/15/1998,2,8/17/1998,13-Mar,139.921875
1/17/2013,0.9504,912810FE,USH13,145.1875,912810FE Govt,USH13 Comdty,ACT/ACT,8/15/2028,5.5,8/15/1998,2,8/17/1998,13-Mar,138.8984375
1/18/2013,0.9504,912810FE,USH13,145.84375,912810FE Govt,USH13 Comdty,ACT/ACT,8/15/2028,5.5,8/15/1998,2,8/17/1998,13-Mar,139.5859375
1/22/2013,0.9504,912810FE,USH13,146.03125,912810FE Govt,USH13 Comdty,ACT/ACT,8/15/2028,5.5,8/15/1998,2,8/17/1998,13-Mar,139.5703125
1/23/2013,0.9504,912810FE,USH13,145.96875,912810FE Govt,USH13 Comdty,ACT/ACT,8/15/2028,5.5,8/15/1998,2,8/17/1998,13-Mar,139.7734375
1/24/2013,0.9504,912810FE,USH13,145.84375,912810FE Govt,USH13 Comdty,ACT/ACT,8/15/2028,5.5,8/15/1998,2,8/17/1998,13-Mar,139.390625
1/25/2013,0.9504,912810FE,USH13,144.0625,912810FE Govt,USH13 Comdty,ACT/ACT,8/15/2028,5.5,8/15/1998,2,8/17/1998,13-Mar,137.71875
1/28/2013,0.9504,912810FE,USH13,143.65625,912810FE Govt,USH13 Comdty,ACT/ACT,8/15/2028,5.5,8/15/1998,2,8/17/1998,13-Mar,137.5078125
1/29/2013,0.9504,912810FE,USH13,143.4375,912810FE Govt,USH13 Comdty,ACT/ACT,8/15/2028,5.5,8/15/1998,2,8/17/1998,13-Mar,136.921875
1/30/2013,0.9504,912810FE,USH13,143.0625,912810FE Govt,USH13 Comdty,ACT/ACT,8/15/2028,5.5,8/15/1998,2,8/17/1998,13-Mar,137.015625
1/31/2013,0.9504,912810FE,USH13,143.46875,912810FE Govt,USH13 Comdty,ACT/ACT,8/15/2028,5.5,8/15/1998,2,8/17/1998,13-Mar,137.1484375
2/1/2013,0.9504,912810FE,USH13,142.84375,912810FE Govt,USH13 Comdty,ACT/ACT,8/15/2028,5.5,8/15/1998,2,8/17/1998,13-Mar,136.4375
2/4/2013,0.9504,912810FE,USH13,143.46875,912810FE Govt,USH13 Comdty,ACT/ACT,8/15/2028,5.5,8/15/1998,2,8/17/1998,13-Mar,137.3515625
