FirstDate, SecondDate, Previous DV01, Previous Forward Rate, Spot DV01, Spot Forward Rate, 1D Gross PnL, 1D Market PnL, 1D Roll-down PnL, 1D Accrual PnL, 1D Explained PnL, 1D Unexplianed PnL, Floater Label
30-JUL-2013, 31-JUL-2013,  0.25498846,  0.25000174,  0.25499023,  0.25000174,  0.00004426,  0.00000000,  0.00000000,  0.00000000,  0.00000000,  0.00004426, JPY-LIBOR-3M
31-JUL-2013, 01-AUG-2013,  0.25499023,  0.25000174,  0.25499200,  0.25000174,  0.00004426,  0.00000000,  0.00000000,  0.00000000,  0.00000000,  0.00004426, JPY-LIBOR-3M
01-AUG-2013, 02-AUG-2013,  0.25499200,  0.25000174,  0.25499377,  0.25000174,  0.00004426, -0.00000000,  0.00000000,  0.00000000, -0.00000000,  0.00004426, JPY-LIBOR-3M
02-AUG-2013, 05-AUG-2013,  0.25499377,  0.25000174,  0.25499908,  0.25000174,  0.00013277,  0.00000000,  0.00000000,  0.00000000,  0.00000000,  0.00013277, JPY-LIBOR-3M
05-AUG-2013, 06-AUG-2013,  0.25499908,  0.25000174,  0.25500085,  0.25000174,  0.00004426,  0.00000000,  0.00000000,  0.00000000,  0.00000000,  0.00004426, JPY-LIBOR-3M
06-AUG-2013, 07-AUG-2013,  0.25500085,  0.25000174,  0.25500262,  0.25000174,  0.00004426,  0.00000000,  0.00000000,  0.00000000,  0.00000000,  0.00004426, JPY-LIBOR-3M
07-AUG-2013, 08-AUG-2013,  0.25500262,  0.25000174,  0.25500439,  0.25000174,  0.00004426,  0.00000000,  0.00000000,  0.00000000,  0.00000000,  0.00004426, JPY-LIBOR-3M
08-AUG-2013, 09-AUG-2013,  0.25500439,  0.25000174,  0.25500616,  0.25000174,  0.00004426, -0.00000000,  0.00000000,  0.00000000, -0.00000000,  0.00004426, JPY-LIBOR-3M
09-AUG-2013, 12-AUG-2013,  0.25500616,  0.25000174,  0.25501148,  0.25000174,  0.00013278,  0.00000000,  0.00000000,  0.00000000,  0.00000000,  0.00013278, JPY-LIBOR-3M
12-AUG-2013, 13-AUG-2013,  0.25501148,  0.25000174,  0.25501325,  0.25000174,  0.00004426, -0.00000000,  0.00000000,  0.00000000, -0.00000000,  0.00004426, JPY-LIBOR-3M
13-AUG-2013, 14-AUG-2013,  0.25501325,  0.25000174,  0.25501502,  0.25000174,  0.00004426,  0.00000000,  0.00000000,  0.00000000,  0.00000000,  0.00004426, JPY-LIBOR-3M
14-AUG-2013, 15-AUG-2013,  0.25501502,  0.25000174,  0.25501679,  0.25000174,  0.00004426,  0.00000000,  0.00000000,  0.00000000,  0.00000000,  0.00004426, JPY-LIBOR-3M
15-AUG-2013, 16-AUG-2013,  0.25501679,  0.25000174,  0.25501856,  0.25000174,  0.00004426, -0.00000000,  0.00000000,  0.00000000, -0.00000000,  0.00004426, JPY-LIBOR-3M
16-AUG-2013, 19-AUG-2013,  0.25501856,  0.25000174,  0.25502387,  0.25000174,  0.00013278,  0.00000000,  0.00000000,  0.00000000,  0.00000000,  0.00013278, JPY-LIBOR-3M
19-AUG-2013, 20-AUG-2013,  0.25502387,  0.25000174,  0.25502564,  0.25000174,  0.00004426, -0.00000000,  0.00000000,  0.00000000, -0.00000000,  0.00004426, JPY-LIBOR-3M
20-AUG-2013, 21-AUG-2013,  0.25502564,  0.25000174,  0.25502741,  0.25000174,  0.00004426,  0.00000000,  0.00000000,  0.00000000,  0.00000000,  0.00004426, JPY-LIBOR-3M
21-AUG-2013, 22-AUG-2013,  0.25502741,  0.25000174,  0.25502918,  0.25000174,  0.00004426, -0.00000000,  0.00000000,  0.00000000, -0.00000000,  0.00004426, JPY-LIBOR-3M
22-AUG-2013, 23-AUG-2013,  0.25502918,  0.25000174,  0.25503095,  0.25000174,  0.00004426,  0.00000000,  0.00000000,  0.00000000,  0.00000000,  0.00004426, JPY-LIBOR-3M
23-AUG-2013, 26-AUG-2013,  0.25503095,  0.25000174,  0.25503626,  0.25000174,  0.00013279,  0.00000000,  0.00000000,  0.00000000,  0.00000000,  0.00013279, JPY-LIBOR-3M
26-AUG-2013, 27-AUG-2013,  0.25503626,  0.25000174,  0.25503803,  0.25000174,  0.00004426,  0.00000000,  0.00000000,  0.00000000,  0.00000000,  0.00004426, JPY-LIBOR-3M
27-AUG-2013, 28-AUG-2013,  0.25503803,  0.25000174,  0.25503980,  0.25000174,  0.00004426, -0.00000000,  0.00000000,  0.00000000, -0.00000000,  0.00004426, JPY-LIBOR-3M
28-AUG-2013, 29-AUG-2013,  0.25503980,  0.25000174,  0.25504157,  0.25000174,  0.00004426,  0.00000000,  0.00000000,  0.00000000,  0.00000000,  0.00004426, JPY-LIBOR-3M
29-AUG-2013, 30-AUG-2013,  0.25504157,  0.25000174,  0.25504334,  0.25000174,  0.00004426, -0.00000000,  0.00000000,  0.00000000, -0.00000000,  0.00004426, JPY-LIBOR-3M
30-AUG-2013, 02-SEP-2013,  0.25504334,  0.25000174,  0.25504866,  0.25000174,  0.00013280,  0.00000000,  0.00000000,  0.00000000,  0.00000000,  0.00013280, JPY-LIBOR-3M
02-SEP-2013, 03-SEP-2013,  0.25504866,  0.25000174,  0.25505043,  0.25000174,  0.00004427, -0.00000000,  0.00000000,  0.00000000, -0.00000000,  0.00004427, JPY-LIBOR-3M
03-SEP-2013, 04-SEP-2013,  0.25505043,  0.25000174,  0.25505220,  0.25000174,  0.00004427, -0.00000000,  0.00000000,  0.00000000, -0.00000000,  0.00004427, JPY-LIBOR-3M
04-SEP-2013, 05-SEP-2013,  0.25505220,  0.25000174,  0.25505397,  0.25000174,  0.00004427,  0.00000000,  0.00000000,  0.00000000,  0.00000000,  0.00004427, JPY-LIBOR-3M
05-SEP-2013, 06-SEP-2013,  0.25505397,  0.25000174,  0.25506572,  0.24500167, -0.12724075, -0.12753168,  0.00000000,  0.00000000, -0.12753168,  0.00029092, JPY-LIBOR-3M
06-SEP-2013, 09-SEP-2013,  0.25506572,  0.24500167,  0.25507093,  0.24500167,  0.00012755, -0.00000000,  0.00000000,  0.00000000, -0.00000000,  0.00012755, JPY-LIBOR-3M
09-SEP-2013, 10-SEP-2013,  0.25507093,  0.24500167,  0.25507266,  0.24500167,  0.00004252,  0.00000000,  0.00000000,  0.00000000,  0.00000000,  0.00004252, JPY-LIBOR-3M
10-SEP-2013, 11-SEP-2013,  0.25507266,  0.24500167,  0.25507440,  0.24500167,  0.00004252,  0.00000000,  0.00000000,  0.00000000,  0.00000000,  0.00004252, JPY-LIBOR-3M
